HBondDonors	HBondAcceptors	MolecularWeight	LogP	TPSA	HydrophobicContacts	ClosestPolarContact	RotatableBonds
4	5	407.56199999999956	2.5573000000000015	78.34	393	1.9615536444359596	11
4	5	407.56199999999956	2.5573000000000015	78.34	361	2.0744268750669415	11
4	5	407.56199999999956	2.5573000000000015	78.34	314	2.3938691254953772	11
4	5	407.56199999999956	2.5573000000000015	78.34	363	2.067780019731306	11
4	5	407.56199999999956	2.5573000000000015	78.34	273	2.3455678395646538	11
4	5	407.56199999999956	2.5573000000000015	78.34	301	1.9657230069366323	11
4	5	407.56199999999956	2.5573000000000015	78.34	285	2.063054533937481	11
4	5	407.56199999999956	2.5573000000000015	78.34	333	2.296049646675786	11
4	5	407.56199999999956	2.5573000000000015	78.34	296	2.711837209347198	11
4	5	407.56199999999956	2.5573000000000015	78.34	283	2.1171513243034847	11
4	5	407.56199999999956	2.5573000000000015	78.34	282	2.1120842147035708	11
4	5	407.56199999999956	2.5573000000000015	78.34	295	2.532496708783646	11
4	5	407.56199999999956	2.5573000000000015	78.34	247	2.5525212418312995	11
4	5	407.56199999999956	2.5573000000000015	78.34	260	2.443428939011732	11
4	5	407.56199999999956	2.5573000000000015	78.34	270	2.4620619691632473	11
4	5	407.56199999999956	2.5573000000000015	78.34	266	2.0687919421730157	11
4	5	407.56199999999956	2.5573000000000015	78.34	233	2.0487071264580496	11
4	5	407.56199999999956	2.5573000000000015	78.34	301	2.2653820008996277	11
4	5	407.56199999999956	2.5573000000000015	78.34	256	2.313482405379388	11
4	5	407.56199999999956	2.5573000000000015	78.34	230	2.1068029167437556	11
4	5	407.56199999999956	2.5573000000000015	78.34	269	2.0807502805478597	11
4	5	407.56199999999956	2.5573000000000015	78.34	290	2.9799831945834865	11
4	5	407.56199999999956	2.5573000000000015	78.34	262	2.4910265474297932	11
4	5	407.56199999999956	2.5573000000000015	78.34	275	2.0858449462987405	11
4	5	407.56199999999956	2.5573000000000015	78.34	304	2.684215091977543	11
4	5	407.56199999999956	2.5573000000000015	78.34	281	2.5341301979180146	11
4	5	407.56199999999956	2.5573000000000015	78.34	284	2.3681467479867044	11
4	5	407.56199999999956	2.5573000000000015	78.34	255	2.6725315283453632	11
4	5	407.56199999999956	2.5573000000000015	78.34	328	2.0771799103592357	11
4	5	407.56199999999956	2.5573000000000015	78.34	234	2.294952925443134	11
4	5	407.56199999999956	2.5573000000000015	78.34	206	2.199748772019205	11
4	5	407.56199999999956	2.5573000000000015	78.34	276	2.1270097460989685	11
