LigandProteinHydrophobicContacts	LigandHydrophobicContacts
74	465
58	466
62	463
69	466
48	466
58	466
52	468
71	460
55	465
53	465
52	466
59	463
47	464
42	463
55	471
53	464
46	463
60	464
54	463
47	465
62	471
57	464
39	466
50	466
57	470
51	466
48	466
46	466
73	470
43	464
33	465
48	463
44	462
46	466
39	466
45	467
44	475
53	463
56	466
51	462
49	467
58	468
35	471
52	463
47	461
51	465
48	470
60	462
45	462
41	467
49	462
53	467
60	478
47	463
52	465
49	465
42	466
51	462
34	466
50	463
48	466
35	466
55	460
52	467
39	463
24	463
54	463
49	466
45	473
43	464
57	463
35	465
46	464
43	463
38	471
38	464
36	465
49	471
38	466
42	472
24	470
31	471
57	464
40	467
41	468
39	463
36	467
43	477
30	466
56	467
27	462
33	466
39	464
42	464
48	461
45	464
44	467
21	464
37	469
21	467
