LigandProteinHydrophobicContacts	LigandHydrophobicContacts
20	57
21	57
20	57
17	57
27	55
29	55
22	54
24	54
25	54
25	54
19	54
30	54
30	54
19	55
27	55
27	55
20	56
21	56
21	57
22	57
25	54
22	56
24	54
22	56
14	57
19	57
21	56
27	56
18	54
23	55
18	55
24	56
24	57
24	56
29	56
32	55
26	55
27	56
17	57
16	54
30	56
18	56
21	55
22	56
25	55
23	54
27	56
17	55
28	55
16	56
32	56
25	55
21	55
18	56
26	56
25	56
15	56
15	55
29	56
30	56
29	55
31	56
20	56
26	55
23	56
18	56
21	55
16	55
27	56
29	55
32	55
25	54
28	55
29	55
28	56
10	55
25	56
15	56
43	55
36	55
19	57
14	56
31	54
23	55
18	56
14	54
18	55
22	54
23	55
16	56
20	55
10	55
10	55
22	54
28	55
17	55
21	57
21	56
26	55
23	55
